,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),volute_constructor_parameter(-),volsp,outer_disk_radius(mm),inner_disk_radius(mm)
180,1,0.3626458539933722,3.531528444e-07,0.8581878804804812,0.2471387819038417,1.4934257027085998,25.0,5.0
181,1,0.4338667793500959,4.391853138e-07,0.4668276479477926,0.220376827163935,0.4161742309717329,25.0,5.0
182,1,0.337822923092357,5.087427623e-07,0.7267844696781451,0.3005119838783571,0.7673044522315985,25.0,5.0
183,1,0.2961890975972569,6.250402121e-07,1.3466991074287316,0.3199818676685861,1.1988523387818055,25.0,5.0
184,1,0.2437526873767836,6.796305287e-07,1.755058132608376,0.4247093139398454,1.9970667013559067,25.0,5.0
185,1,0.3295796126842256,7.036340851e-07,0.8500000000000001,0.3317019255386515,0.4294435009208484,25.0,5.0
186,1,0.3289928572201344,4.731938328e-07,1.0795392145812928,0.2935834603646088,0.8665122925734624,25.0,5.0
187,1,0.3895900149342253,3.251065555e-07,0.7536277188895651,0.2571977896353912,1.854084247783342,25.0,5.0
188,1,0.2543124534237708,6.867731617e-07,1.881870595521192,0.370466978709789,1.7626408267473397,25.0,5.0
189,1,0.3483817539935204,5.601635778e-07,0.976303272929558,0.3390931679403343,1.5944486503652366,25.0,5.0
190,1,0.3536990985259407,6.400579043e-07,0.8500000000000001,0.2088777536029157,0.5597208527153953,25.0,5.0
191,1,0.2797876412793662,7.496733758e-07,1.4737842840802895,0.2778818628460832,1.2514943082060683,25.0,5.0
192,0,0.0,0.0,1.8373567126917016,0.1943830268682917,1.5520027071693387,25.0,5.0
193,1,0.2647157976730547,7.800735238e-07,1.475,0.31859375,0.7620482273600739,25.0,5.0
194,0,0.0,0.0,1.6028852673802487,0.2081706338420255,1.5506840363404064,25.0,5.0
195,1,0.2351659677423512,1.1082299112e-06,1.8535524985223095,0.3316877630962773,0.3979639272580289,25.0,5.0
196,1,0.2216860695849299,8.749333297e-07,1.6846238740584931,0.5153356698608427,1.64375,25.0,5.0
197,1,0.2040576874730226,1.7206976897e-06,0.8903760289431024,0.5686406370640523,0.9834260154590682,25.0,5.0
198,1,0.2588987979260078,8.74429846e-07,1.8412506972700504,0.3892651281457259,1.1390625,25.0,5.0
199,1,0.2697503914811898,6.760068533e-07,1.7234764680981067,0.3533191521973189,1.5829105729512565,25.0,5.0
